Episode,Reward,Length
1220,24.0,25
1221,20.0,21
1222,13.0,14
1223,50.0,51
1224,25.0,26
1225,22.0,23
1226,14.0,15
1227,40.0,41
1228,24.0,25
1229,8.0,9
1230,17.0,18
1231,19.0,20
1232,11.0,12
1233,13.0,14
1234,30.0,31
1235,31.0,32
1236,19.0,20
1237,11.0,12
1238,18.0,19
1239,11.0,12
1240,10.0,11
1241,25.0,26
1242,15.0,16
1243,26.0,27
1244,14.0,15
1245,15.0,16
1246,8.0,9
1247,35.0,36
1248,23.0,24
1249,7.0,8
1250,18.0,19
1251,16.0,17
1252,11.0,12
1253,40.0,41
1254,10.0,11
1255,10.0,11
1256,14.0,15
1257,15.0,16
1258,18.0,19
1259,14.0,15
1260,16.0,17
1261,60.0,61
1262,27.0,28
1263,20.0,21
1264,11.0,12
1265,12.0,13
1266,9.0,10
1267,14.0,15
1268,20.0,21
1269,38.0,39
1270,29.0,30
1271,20.0,21
1272,31.0,32
1273,11.0,12
1274,14.0,15
1275,10.0,11
1276,14.0,15
1277,18.0,19
1278,12.0,13
1279,33.0,34
1280,30.0,31
1281,15.0,16
1282,8.0,9
1283,12.0,13
1284,12.0,13
1285,20.0,21
1286,30.0,31
1287,15.0,16
1288,10.0,11
1289,26.0,27
1290,123.0,124
1291,21.0,22
1292,27.0,28
1293,14.0,15
1294,21.0,22
1295,44.0,45
1296,13.0,14
1297,43.0,44
1298,14.0,15
1299,22.0,23
1300,21.0,22
1301,19.0,20
1302,43.0,44
1303,33.0,34
1304,8.0,9
1305,12.0,13
1306,46.0,47
1307,48.0,49
1308,33.0,34
1309,43.0,44
1310,54.0,55
1311,26.0,27
1312,24.0,25
1313,17.0,18
1314,18.0,19
1315,18.0,19
1316,48.0,49
1317,12.0,13
1318,18.0,19
1319,29.0,30
1320,16.0,17
1321,22.0,23
1322,19.0,20
1323,35.0,36
1324,19.0,20
1325,32.0,33
1326,24.0,25
1327,12.0,13
1328,14.0,15
1329,19.0,20
1330,26.0,27
1331,15.0,16
1332,22.0,23
1333,8.0,9
1334,21.0,22
1335,14.0,15
1336,11.0,12
1337,20.0,21
1338,10.0,11
1339,26.0,27
1340,22.0,23
1341,25.0,26
1342,17.0,18
1343,11.0,12
1344,12.0,13
1345,36.0,37
1346,21.0,22
1347,17.0,18
1348,19.0,20
1349,25.0,26
1350,14.0,15
1351,64.0,65
1352,18.0,19
1353,11.0,12
1354,15.0,16
1355,9.0,10
1356,15.0,16
1357,11.0,12
1358,9.0,10
1359,12.0,13
1360,25.0,26
1361,15.0,16
1362,7.0,8
1363,14.0,15
1364,11.0,12
1365,28.0,29
1366,18.0,19
1367,24.0,25
1368,10.0,11
1369,18.0,19
1370,28.0,29
1371,24.0,25
1372,12.0,13
1373,49.0,50
1374,10.0,11
1375,17.0,18
1376,50.0,51
1377,11.0,12
1378,13.0,14
1379,12.0,13
1380,14.0,15
1381,29.0,30
1382,8.0,9
1383,25.0,26
1384,17.0,18
1385,29.0,30
1386,15.0,16
1387,8.0,9
1388,25.0,26
1389,21.0,22
1390,19.0,20
1391,25.0,26
1392,27.0,28
1393,22.0,23
1394,12.0,13
1395,47.0,48
1396,33.0,34
1397,19.0,20
1398,26.0,27
1399,8.0,9
1400,26.0,27
1401,46.0,47
1402,14.0,15
1403,18.0,19
1404,13.0,14
1405,16.0,17
1406,13.0,14
1407,35.0,36
1408,16.0,17
1409,28.0,29
1410,15.0,16
1411,13.0,14
1412,14.0,15
1413,21.0,22
1414,42.0,43
1415,45.0,46
1416,14.0,15
1417,20.0,21
1418,23.0,24
1419,25.0,26
1420,27.0,28
1421,37.0,38
1422,11.0,12
1423,21.0,22
1424,19.0,20
1425,60.0,61
1426,21.0,22
1427,14.0,15
1428,16.0,17
1429,19.0,20
1430,18.0,19
1431,35.0,36
1432,18.0,19
1433,24.0,25
1434,26.0,27
1435,9.0,10
1436,19.0,20
1437,18.0,19
1438,24.0,25
1439,20.0,21
1440,26.0,27
1441,16.0,17
1442,14.0,15
1443,18.0,19
1444,20.0,21
1445,17.0,18
1446,15.0,16
1447,8.0,9
1448,75.0,76
1449,22.0,23
1450,11.0,12
1451,33.0,34
1452,28.0,29
1453,12.0,13
1454,28.0,29
1455,18.0,19
1456,41.0,42
1457,13.0,14
1458,31.0,32
1459,51.0,52
1460,24.0,25
1461,11.0,12
1462,17.0,18
1463,15.0,16
1464,29.0,30
1465,15.0,16
1466,12.0,13
1467,34.0,35
1468,36.0,37
1469,15.0,16
1470,14.0,15
1471,51.0,52
1472,14.0,15
1473,14.0,15
1474,53.0,54
1475,18.0,19
1476,25.0,26
1477,12.0,13
1478,43.0,44
1479,30.0,31
1480,15.0,16
1481,16.0,17
1482,23.0,24
1483,17.0,18
1484,16.0,17
1485,32.0,33
1486,8.0,9
1487,15.0,16
1488,20.0,21
1489,13.0,14
1490,21.0,22
1491,53.0,54
1492,14.0,15
1493,20.0,21
1494,10.0,11
1495,62.0,63
1496,38.0,39
1497,22.0,23
1498,17.0,18
1499,10.0,11
1500,21.0,22
1501,33.0,34
1502,16.0,17
1503,24.0,25
1504,15.0,16
1505,18.0,19
1506,28.0,29
1507,19.0,20
1508,10.0,11
1509,24.0,25
1510,25.0,26
1511,44.0,45
1512,19.0,20
1513,43.0,44
1514,12.0,13
1515,12.0,13
1516,16.0,17
1517,53.0,54
1518,28.0,29
1519,23.0,24
1520,9.0,10
1521,15.0,16
1522,17.0,18
1523,20.0,21
1524,20.0,21
1525,14.0,15
1526,14.0,15
1527,18.0,19
1528,12.0,13
1529,10.0,11
1530,11.0,12
1531,30.0,31
1532,12.0,13
1533,11.0,12
1534,17.0,18
1535,44.0,45
1536,27.0,28
1537,10.0,11
1538,16.0,17
1539,22.0,23
1540,16.0,17
1541,20.0,21
1542,11.0,12
1543,17.0,18
1544,20.0,21
1545,32.0,33
1546,12.0,13
1547,13.0,14
1548,41.0,42
1549,39.0,40
1550,52.0,53
1551,29.0,30
1552,40.0,41
1553,26.0,27
1554,21.0,22
1555,26.0,27
1556,31.0,32
1557,20.0,21
1558,22.0,23
1559,27.0,28
1560,21.0,22
1561,39.0,40
1562,14.0,15
1563,12.0,13
1564,13.0,14
1565,27.0,28
1566,12.0,13
1567,17.0,18
1568,38.0,39
1569,16.0,17
1570,15.0,16
1571,27.0,28
1572,21.0,22
1573,16.0,17
1574,16.0,17
1575,18.0,19
1576,25.0,26
1577,23.0,24
1578,57.0,58
1579,27.0,28
1580,17.0,18
1581,27.0,28
1582,14.0,15
1583,24.0,25
1584,43.0,44
1585,16.0,17
1586,17.0,18
1587,11.0,12
1588,17.0,18
1589,12.0,13
1590,27.0,28
1591,13.0,14
1592,89.0,90
1593,19.0,20
1594,20.0,21
1595,26.0,27
1596,17.0,18
1597,16.0,17
1598,8.0,9
1599,11.0,12
1600,15.0,16
1601,28.0,29
1602,22.0,23
1603,17.0,18
1604,11.0,12
1605,15.0,16
1606,13.0,14
1607,13.0,14
1608,14.0,15
1609,19.0,20
1610,14.0,15
1611,15.0,16
1612,13.0,14
1613,10.0,11
1614,11.0,12
1615,28.0,29
1616,18.0,19
1617,36.0,37
1618,24.0,25
1619,66.0,67
1620,35.0,36
1621,21.0,22
1622,15.0,16
1623,10.0,11
1624,27.0,28
1625,23.0,24
1626,27.0,28
1627,13.0,14
1628,30.0,31
1629,11.0,12
1630,14.0,15
1631,36.0,37
1632,24.0,25
1633,9.0,10
1634,19.0,20
1635,17.0,18
1636,15.0,16
1637,14.0,15
1638,10.0,11
1639,20.0,21
1640,9.0,10
1641,17.0,18
1642,39.0,40
1643,22.0,23
1644,22.0,23
1645,18.0,19
1646,31.0,32
1647,11.0,12
1648,22.0,23
1649,32.0,33
1650,14.0,15
1651,15.0,16
1652,10.0,11
1653,70.0,71
1654,19.0,20
1655,21.0,22
1656,48.0,49
1657,44.0,45
1658,10.0,11
1659,28.0,29
