Episode,Reward,Length
1327,115.0,12
1328,112.0,501
1329,117.0,501
1330,117.0,501
1331,117.0,501
1332,114.0,501
1333,121.0,501
1334,121.0,501
1335,122.0,501
1336,127.0,501
1337,133.0,501
1338,125.0,501
1339,127.0,205
1340,134.0,185
1341,132.0,215
1342,132.0,501
1343,120.0,501
1344,126.0,501
1345,115.0,501
1346,135.0,501
1347,131.0,501
1348,124.0,374
1349,122.0,501
1350,128.0,287
1351,124.0,328
1352,136.0,333
1353,136.0,304
1354,133.0,292
1355,132.0,270
1356,124.0,289
1357,122.0,170
1358,156.0,233
1359,148.0,189
1360,143.0,169
1361,122.0,168
1362,121.0,164
1363,126.0,188
1364,126.0,164
1365,135.0,158
1366,121.0,189
1367,128.0,196
1368,122.0,153
1369,111.0,164
1370,114.0,204
1371,123.0,209
1372,105.0,164
1373,132.0,194
1374,126.0,166
1375,126.0,191
1376,110.0,187
1377,109.0,207
1378,108.0,205
1379,123.0,177
1380,112.0,187
1381,150.0,182
1382,153.0,171
1383,153.0,172
1384,145.0,187
1385,169.0,173
1386,169.0,180
1387,164.0,176
1388,177.0,191
1389,154.0,168
1390,150.0,179
1391,156.0,23
1392,165.0,138
1393,178.0,199
1394,193.0,76
1395,161.0,103
1396,189.0,188
1397,189.0,211
1398,29.0,204
1399,43.0,93
1400,292.0,194
1401,500.0,187
1402,500.0,188
1403,500.0,190
1404,198.0,216
1405,500.0,194
1406,500.0,216
1407,242.0,201
1408,242.0,202
1409,278.0,242
1410,242.0,217
1411,226.0,232
1412,214.0,295
1413,282.0,377
1414,234.0,501
1415,242.0,282
1416,309.0,281
1417,302.0,114
1418,310.0,501
1419,310.0,501
1420,292.0,501
1421,306.0,184
1422,280.0,501
1423,191.0,501
1424,175.0,138
1425,41.0,238
1426,157.0,388
1427,196.0,139
1428,272.0,224
1429,49.0,501
1430,49.0,501
1431,137.0,501
1432,157.0,501
1433,347.0,501
1434,213.0,501
1435,377.0,293
1436,243.0,501
1437,212.0,501
1438,197.0,98
1439,334.0,501
1440,181.0,239
1441,181.0,501
1442,351.0,501
1443,355.0,501
1444,353.0,501
1445,389.0,501
1446,357.0,501
1447,162.0,501
1448,383.0,501
1449,436.0,501
1450,202.0,501
1451,459.0,501
1452,459.0,501
1453,173.0,501
1454,500.0,127
1455,241.0,501
1456,500.0,501
1457,227.0,39
1458,95.0,501
1459,10.0,501
1460,500.0,501
1461,500.0,501
1462,500.0,501
1463,500.0,501
1464,500.0,501
1465,500.0,501
1466,500.0,501
1467,500.0,501
1468,500.0,501
1469,500.0,501
1470,500.0,501
1471,500.0,501
1472,203.0,501
1473,183.0,501
1474,183.0,501
1475,213.0,442
1476,500.0,501
1477,500.0,501
1478,500.0,489
1479,500.0,501
1480,500.0,501
1481,500.0,501
1482,372.0,501
1483,500.0,501
1484,285.0,501
1485,285.0,501
1486,326.0,501
1487,331.0,501
1488,302.0,501
1489,290.0,501
1490,268.0,501
1491,287.0,501
1492,168.0,501
1493,231.0,136
1494,187.0,88
1495,167.0,501
1496,167.0,501
1497,166.0,501
1498,162.0,501
1499,186.0,78
1500,162.0,501
1501,156.0,501
1502,187.0,501
1503,194.0,60
1504,151.0,501
1505,162.0,192
1506,202.0,501
1507,202.0,501
1508,207.0,501
1509,162.0,501
1510,192.0,501
1511,164.0,501
1512,189.0,204
1513,185.0,195
1514,205.0,177
1515,203.0,501
1516,175.0,20
1517,185.0,17
1518,185.0,501
1519,180.0,37
1520,169.0,30
1521,170.0,501
1522,185.0,501
1523,171.0,501
1524,178.0,501
1525,174.0,501
1526,189.0,501
1527,166.0,501
1528,177.0,501
1529,177.0,501
1530,21.0,455
1531,136.0,150
1532,197.0,501
1533,74.0,28
1534,101.0,23
1535,186.0,31
1536,209.0,33
1537,202.0,28
1538,91.0,98
1539,192.0,501
1540,192.0,501
1541,185.0,501
1542,186.0,501
1543,188.0,501
1544,214.0,501
1545,192.0,501
1546,214.0,350
1547,199.0,251
1548,200.0,219
1549,240.0,175
1550,215.0,202
1551,215.0,178
1552,230.0,165
1553,293.0,170
1554,375.0,157
1555,500.0,155
1556,280.0,157
1557,279.0,149
1558,112.0,158
1559,500.0,144
1560,500.0,155
1561,500.0,137
1562,500.0,135
1563,182.0,145
1564,500.0,136
1565,500.0,133
1566,136.0,133
1567,236.0,126
1568,386.0,143
1569,137.0,136
1570,222.0,129
1571,500.0,136
1572,500.0,138
1573,500.0,125
1574,500.0,137
1575,500.0,126
1576,500.0,132
1577,500.0,125
1578,291.0,123
1579,500.0,146
1580,500.0,116
1581,96.0,125
1582,500.0,149
1583,237.0,145
1584,237.0,152
1585,500.0,130
1586,500.0,135
1587,500.0,140
1588,500.0,123
1589,500.0,131
1590,500.0,144
1591,500.0,122
1592,500.0,132
1593,500.0,152
1594,500.0,117
1595,500.0,123
1596,500.0,124
1597,500.0,120
1598,500.0,133
1599,125.0,124
1600,500.0,126
1601,500.0,124
1602,37.0,136
1603,500.0,133
1604,500.0,128
1605,500.0,14
1606,500.0,124
1607,500.0,186
1608,500.0,164
1609,500.0,146
1610,500.0,141
1611,500.0,147
1612,500.0,30
1613,500.0,18
1614,500.0,14
1615,500.0,19
1616,500.0,157
1617,500.0,156
1618,500.0,133
1619,500.0,144
1620,500.0,150
1621,500.0,133
1622,440.0,139
1623,500.0,145
1624,500.0,135
1625,487.0,139
1626,500.0,141
1627,500.0,136
1628,500.0,148
1629,500.0,126
1630,500.0,131
1631,500.0,128
1632,500.0,130
1633,500.0,130
1634,500.0,118
1635,500.0,129
1636,500.0,127
1637,500.0,124
1638,500.0,127
1639,500.0,135
1640,500.0,139
1641,500.0,132
1642,134.0,160
1643,86.0,132
1644,500.0,139
1645,500.0,134
1646,500.0,150
1647,500.0,154
1648,76.0,147
1649,500.0,154
1650,500.0,152
1651,500.0,150
1652,500.0,174
1653,58.0,203
1654,500.0,233
1655,190.0,212
1656,500.0,225
1657,500.0,233
1658,500.0,208
1659,500.0,231
